11:41:07 p4 | P a2 mny-5 (real -4.56) 761/759 | mid 0.060 spr 33.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:41:37 p4 | P a3 mny-5 (real -4.56) 761/758 | mid 0.080 spr 25.0% | C:Filled 0.08 2.6s | V:FORZADO 0.06 40.4s | ida-vuelta -2.0$
11:42:30 p4 | P a4 mny-5 (real -4.56) 761/757 | mid 0.080 spr 25.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:42:54 p4 | C a2 mny+10 (real +9.56) 756/758 | mid 1.985 spr 20.7% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:43:19 p4 | C a3 mny+10 (real +9.56) 756/759 | mid 2.965 spr 13.2% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:43:45 p4 | C a4 mny+10 (real +9.56) 756/760 | mid 3.960 spr 7.6% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:44:22 p4 | C a2 mny+20 (real +19.51) 746/748 | mid 2.000 spr 24.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:44:50 p4 | C a3 mny+20 (real +19.51) 746/749 | mid 2.450 spr 64.5% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:45:15 p4 | C a4 mny+20 (real +19.51) 746/750 | mid 4.005 spr 11.2% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:45:52 p5 | P a2 mny-5 (real -5.36) 760/758 | mid 0.040 spr 50.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:46:19 p5 | P a3 mny-5 (real -5.36) 760/757 | mid 0.040 spr 50.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:46:44 p5 | P a4 mny-5 (real -5.36) 760/756 | mid 0.040 spr 50.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:47:09 p5 | P a2 mny-3 (real -3.36) 762/760 | mid 0.120 spr 16.7% | C:Filled 0.12 0.5s | V:FORZADO 0.09 40.4s | ida-vuelta -3.0$
11:48:00 p5 | P a3 mny-3 (real -3.36) 762/759 | mid 0.140 spr 14.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:48:24 p5 | P a4 mny-3 (real -3.36) 762/758 | mid 0.160 spr 12.5% | C:Filled 0.13 2.0s | V:FORZADO 0.11000000000000001 16.1s | ida-vuelta -2.0$
11:48:57 p5 | C a2 mny-1 (real -1.38) 767/769 | mid 0.330 spr 6.1% | C:Filled 0.34 5.0s | V:FORZADO 0.30000000000000004 16.1s | ida-vuelta -4.0$
11:49:32 p5 | P a2 mny-1 (real -0.62) 765/763 | mid 0.460 spr 4.3% | C:Filled 0.46 7.0s | V:FORZADO 0.47 40.4s | ida-vuelta 1.0$
11:50:29 p5 | C a3 mny-1 (real -1.38) 767/770 | mid 0.380 spr 5.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:50:54 p5 | P a3 mny-1 (real -0.62) 765/762 | mid 0.560 spr 3.6% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:51:18 p5 | C a4 mny-1 (real -1.38) 767/771 | mid 0.390 spr 5.1% | C:Filled 0.36 6.6s | V:FORZADO 0.41000000000000003 16.1s | ida-vuelta 5.0$
11:51:52 p5 | P a4 mny-1 (real -0.62) 765/761 | mid 0.620 spr 3.2% | C:Filled 0.53 2.0s | V:FORZADO 0.48000000000000004 16.7s | ida-vuelta -5.0$
11:52:48 p5 | P a3 mny+0 (real +0.08) 766/763 | mid 0.790 spr 2.5% | C:Filled 0.82 7.1s | V:FORZADO 0.8300000000000001 16.1s | ida-vuelta 1.0$
11:53:26 p5 | P a4 mny+0 (real +0.08) 766/762 | mid 0.870 spr 2.3% | C:Filled 0.95 2.5s | V:FORZADO 0.93 16.1s | ida-vuelta -2.0$
11:53:54 p5 | C a2 mny+2 (real +1.92) 764/766 | mid 1.350 spr 3.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:54:19 p5 | C a2 mny+3 (real +2.92) 763/765 | mid 1.590 spr 2.5% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:54:43 p5 | C a3 mny+3 (real +2.92) 763/766 | mid 2.200 spr 1.8% | C:Filled 2.19 18.7s | V:FORZADO 2.13 16.1s | ida-vuelta -6.0$
11:55:29 p5 | C a2 mny+5 (real +4.92) 761/763 | mid 1.920 spr 13.5% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:56:07 p5 | C a3 mny+5 (real +4.85) 761/764 | mid 2.740 spr 6.6% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:56:37 p5 | C a2 mny+10 (real +9.85) 756/758 | mid 1.990 spr 19.1% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:57:02 p5 | C a3 mny+10 (real +9.85) 756/759 | mid 2.985 spr 13.1% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:57:26 p5 | C a4 mny+10 (real +9.85) 756/760 | mid 3.965 spr 9.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:57:51 p5 | C a2 mny+20 (real +19.85) 746/748 | mid 2.000 spr 20.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:58:16 p5 | C a3 mny+20 (real +19.85) 746/749 | mid 2.775 spr 34.2% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:58:53 p5 | C a4 mny+20 (real +19.74) 746/750 | mid 3.975 spr 10.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:59:33 p6 | P a2 mny-5 (real -4.74) 761/759 | mid 0.040 spr 50.0% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
12:00:01 p6 | P a3 mny-5 (real -4.74) 761/758 | mid 0.050 spr 40.0% | C:Filled 0.05 6.0s | V:FORZADO 0.04000000000000001 40.3s | ida-vuelta -1.0$
12:00:59 p6 | P a4 mny-5 (real -4.74) 761/757 | mid 0.050 spr 40.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
12:01:23 p6 | P a2 mny-3 (real -2.74) 763/761 | mid 0.140 spr 14.3% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
12:01:48 p6 | P a3 mny-3 (real -2.74) 763/760 | mid 0.170 spr 11.8% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
12:02:12 p6 | P a4 mny-3 (real -2.74) 763/759 | mid 0.180 spr 11.1% | C:Filled 0.19 4.1s | V:FORZADO 0.13 40.5s | ida-vuelta -6.0$
12:03:12 p6 | C a2 mny-1 (real -0.99) 767/769 | mid 0.400 spr 5.0% | C:Filled 0.39 5.6s | V:FORZADO 0.38 16.1s | ida-vuelta -1.0$
12:03:47 p6 | P a2 mny-1 (real -1.01) 765/763 | mid 0.360 spr 5.6% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
