RECORRIDO DE CIERRES DE 2 EN 2  -  todas las velas, de inicio a fin
========================================================================================
fuente: spy_velas.db   dias: 2026-08-11, 2026-08-12, 2026-08-13

delta      = close[i] - close[i-1]   (el diferencial de cada par)
recorrido  = suma acumulada de |delta|  -> lo que el precio ANDUVO desde la apertura
neto       = close[i] - close[apertura] -> lo que el precio AVANZO desde la apertura

########################################################################################
# 1) PARES DESLIZANTES: cada vela contra la anterior
########################################################################################

=== 2026-08-11 ===   390 velas
  hora     open    close    delta  color  recorrido     neto
 09:47   772.59   772.72    +0.14  VERDE       3.15    -1.15
 09:48   772.72   773.53    +0.81  VERDE       3.96    -0.34
 09:49   773.52   773.54    +0.01  VERDE       3.97    -0.33
 09:50   773.54   773.39    -0.15   ROJA       4.12    -0.48
 09:51   773.37   773.12    -0.27   ROJA       4.39    -0.75
 09:52   773.12   772.72    -0.40   ROJA       4.79    -1.15
 09:53   772.72   772.91    +0.19  VERDE       4.98    -0.96
 09:54   772.90   772.62    -0.29   ROJA       5.27    -1.25
 09:55   772.62   772.57    -0.05   ROJA       5.32    -1.30
 09:56   772.56   772.16    -0.41   ROJA       5.73    -1.71
 09:57   772.16   772.33    +0.17  VERDE       5.90    -1.54
 09:58   772.34   772.64    +0.31  VERDE       6.21    -1.23
 09:59   772.67   772.59    -0.05   ROJA       6.26    -1.28
 10:00   772.60   772.55    -0.04   ROJA       6.30    -1.32
 10:01   772.57   772.57    +0.02   DOJI       6.32    -1.30
 10:02   772.60   772.29    -0.28   ROJA       6.60    -1.58
 10:03   772.29   772.16    -0.13   ROJA       6.73    -1.71
 10:04   772.15   771.94    -0.22   ROJA       6.95    -1.93
 10:05   771.94   772.30    +0.36  VERDE       7.31    -1.57
 10:06   772.31   772.34    +0.04  VERDE       7.35    -1.53
 10:07   772.34   772.26    -0.08   ROJA       7.43    -1.61
 10:08   772.24   772.34    +0.08  VERDE       7.51    -1.53
 10:09   772.35   772.40    +0.06  VERDE       7.57    -1.47
 10:10   772.39   772.64    +0.24  VERDE       7.81    -1.23
 10:11   772.64   772.49    -0.15   ROJA       7.96    -1.38
 10:12   772.48   772.43    -0.06   ROJA       8.02    -1.44
 10:13   772.43   772.37    -0.06   ROJA       8.08    -1.50
 10:14   772.36   772.38    +0.01  VERDE       8.09    -1.49
 10:15   772.36   772.54    +0.16  VERDE       8.25    -1.33
 10:16   772.54   772.52    -0.02   ROJA       8.27    -1.35
 10:17   772.52   772.69    +0.17  VERDE       8.44    -1.18
 10:18   772.70   772.96    +0.27  VERDE       8.71    -0.91
 10:19   772.97   772.50    -0.46   ROJA       9.17    -1.37
 10:20   772.50   772.49    -0.01   ROJA       9.18    -1.38
 10:21   772.47   772.53    +0.04  VERDE       9.22    -1.34
 10:22   772.53   772.58    +0.05  VERDE       9.27    -1.29
 10:23   772.56   772.85    +0.27  VERDE       9.54    -1.02
 10:24   772.87   772.97    +0.12  VERDE       9.66    -0.90
 10:25   772.94   772.82    -0.15   ROJA       9.81    -1.05
 10:26   772.82   773.26    +0.44  VERDE      10.25    -0.61
 10:27   773.28   773.19    -0.07   ROJA      10.32    -0.68
 10:28   773.20   773.04    -0.15   ROJA      10.47    -0.83
 10:29   773.06   772.80    -0.24   ROJA      10.71    -1.07
 10:30   772.79   772.74    -0.06   ROJA      10.77    -1.13
 10:31   772.74   772.48    -0.26   ROJA      11.03    -1.39
 10:32   772.47   772.24    -0.24   ROJA      11.27    -1.63
 10:33   772.27   772.45    +0.21  VERDE      11.48    -1.42
 10:34   772.44   772.07    -0.38   ROJA      11.86    -1.80
 10:35   772.06   772.25    +0.18  VERDE      12.04    -1.62
 10:36   772.27   772.39    +0.14  VERDE      12.18    -1.48
 10:37   772.37   772.66    +0.27  VERDE      12.45    -1.21
 10:38   772.61   772.55    -0.11   ROJA      12.56    -1.32
 10:39   772.54   772.79    +0.24  VERDE      12.80    -1.08
 10:40   772.78   772.87    +0.08  VERDE      12.88    -1.00
 10:41   772.89   772.91    +0.04  VERDE      12.92    -0.96
 10:42   772.90   772.81    -0.10   ROJA      13.02    -1.06
 10:43   772.82   773.00    +0.19  VERDE      13.21    -0.87
 10:44   772.98   773.06    +0.06  VERDE      13.27    -0.81
 10:45   773.06   773.10    +0.04  VERDE      13.31    -0.77
 10:46   773.09   773.03    -0.07   ROJA      13.38    -0.84
 10:47   773.03   772.55    -0.48   ROJA      13.86    -1.32
 10:48   772.56   772.53    -0.02   ROJA      13.88    -1.34
 10:49   772.51   772.68    +0.15  VERDE      14.03    -1.19
 10:50   772.68   772.30    -0.38   ROJA      14.41    -1.57
 10:51   772.29   772.34    +0.04  VERDE      14.45    -1.53
 10:52   772.34   772.46    +0.12  VERDE      14.57    -1.41
 10:53   772.45   772.44    -0.02   ROJA      14.59    -1.43
 10:54   772.47   772.06    -0.38   ROJA      14.97    -1.81
 10:55   772.04   771.92    -0.14   ROJA      15.11    -1.95
 10:56   771.89   772.06    +0.14  VERDE      15.25    -1.81
 10:57   772.07   772.15    +0.09  VERDE      15.34    -1.72
 10:58   772.17   772.20    +0.05  VERDE      15.39    -1.67
 10:59   772.20   772.22    +0.02  VERDE      15.41    -1.65
 11:00   772.22   772.12    -0.10   ROJA      15.51    -1.75
 11:01   772.14   772.22    +0.10  VERDE      15.61    -1.65
 11:02   772.23   772.10    -0.12   ROJA      15.73    -1.77
 11:03   772.10   771.81    -0.29   ROJA      16.02    -2.06
 11:04   771.80   771.87    +0.06  VERDE      16.08    -2.00
 11:05   771.87   771.85    -0.02   ROJA      16.10    -2.02
