PREMIUM POR MINUTO vs PRECIO DEL SPY  —  2026-08-11  —  expiry 0DTE 20260811
Rejilla completa 09:30 -> 16:13 = 404 minutos | con dato 373 | sin dato 31
B = ese minuto incluye la banda (3 min de golpe).  Vacio = sin lectura ese minuto.
Importes en DOLARES, premium BRUTO (no distingue comprador de vendedor).

┌──────────┬─────┬────────────────┬────────────────┬────────────────┬───────────┬────────┬────────┬─────────┬──────────┬────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┐
│   MINUTO │   B │           CALL │            PUT │          C - P │       SPY │    RSI │  SCORE │     DIR │    MACDh │   ATR% │     VWAP │      OBV │     EMA8 │    EMA21 │    EMA50 │    SMA20 │    SMA50 │   SMA200 │
│    10:54 │     │         171749 │         124800 │         +46949 │    773.89 │   58.6 │      2 │    BULL │    0.028 │   0.03 │   773.79 │  bullish │   773.78 │   773.69 │   773.60 │   773.64 │   773.66 │   773.17 │
│    10:55 │   B │        2197092 │        1206089 │        +991003 │    773.79 │   54.8 │      2 │    BULL │    0.021 │   0.03 │   773.83 │  neutral │   773.79 │   773.70 │   773.61 │   773.64 │   773.66 │   773.17 │
│    10:56 │     │         131534 │          97593 │         +33941 │    773.70 │   53.8 │      2 │    BULL │    0.009 │   0.03 │   773.84 │  neutral │   773.77 │   773.70 │   773.62 │   773.64 │   773.65 │   773.18 │
│    10:57 │     │          94176 │          88478 │          +5698 │    773.73 │   57.5 │      2 │    BULL │    0.003 │   0.03 │   773.79 │  bullish │   773.76 │   773.71 │   773.62 │   773.66 │   773.65 │   773.18 │
│    10:58 │   B │         888335 │         676237 │        +212098 │    773.71 │   58.0 │     -3 │    BEAR │   -0.003 │   0.03 │   773.79 │  neutral │   773.75 │   773.71 │   773.62 │   773.68 │   773.65 │   773.19 │
│    10:59 │     │          76518 │         157932 │         -81414 │    773.62 │   51.0 │     -2 │    BEAR │   -0.012 │   0.03 │   773.75 │  neutral │   773.72 │   773.70 │   773.62 │   773.69 │   773.65 │   773.19 │
│    11:00 │     │          72564 │          49698 │         +22866 │    773.76 │   50.5 │      0 │ NEUTRAL │   -0.009 │   0.03 │   773.72 │  neutral │   773.73 │   773.70 │   773.63 │   773.70 │   773.65 │   773.19 │
│    11:01 │   B │         795547 │         550791 │        +244756 │    773.79 │   50.5 │      0 │ NEUTRAL │   -0.005 │   0.03 │   773.72 │  neutral │   773.74 │   773.71 │   773.64 │   773.71 │   773.65 │   773.20 │
│    11:02 │     │         113090 │         160809 │         -47719 │    773.53 │   41.2 │     -1 │    BEAR │   -0.020 │   0.03 │   773.70 │  neutral │   773.69 │   773.69 │   773.63 │   773.71 │   773.65 │   773.20 │
│    11:03 │     │         183033 │         100433 │         +82600 │    773.49 │   40.5 │     -4 │    BEAR │   -0.030 │   0.03 │   773.65 │  bearish │   773.65 │   773.68 │   773.63 │   773.72 │   773.64 │   773.20 │
│    11:04 │   B │        1209126 │        1359938 │        -150812 │    773.50 │   49.2 │     -4 │    BEAR │   -0.035 │   0.03 │   773.62 │  neutral │   773.62 │   773.66 │   773.62 │   773.72 │   773.64 │   773.21 │
│    11:05 │     │         184856 │         211850 │         -26994 │    773.28 │   32.3 │     -3 │    BEAR │   -0.051 │   0.03 │   773.54 │  bearish │   773.54 │   773.63 │   773.61 │   773.71 │   773.62 │   773.21 │
│    11:06 │     │         408221 │         593403 │        -185182 │    773.10 │   24.7 │     -2 │    BEAR │   -0.069 │   0.03 │   773.42 │  bearish │   773.44 │   773.58 │   773.59 │   773.68 │   773.61 │   773.21 │
│    11:07 │   B │        1661388 │        2877567 │       -1216179 │    773.05 │   29.1 │     -3 │    BEAR │   -0.080 │   0.03 │   773.31 │  bearish │   773.36 │   773.53 │   773.57 │   773.64 │   773.60 │   773.22 │
│    11:08 │     │         174322 │         607664 │        -433342 │    772.88 │   14.7 │     -2 │    BEAR │   -0.094 │   0.03 │   773.19 │  bearish │   773.25 │   773.47 │   773.54 │   773.59 │   773.59 │   773.22 │
│    11:09 │     │          93594 │         468232 │        -374638 │    772.81 │   15.0 │     -2 │    BEAR │   -0.101 │   0.02 │   773.06 │  bearish │   773.15 │   773.41 │   773.51 │   773.53 │   773.57 │   773.22 │
│    11:10 │   B │        1847514 │        2858747 │       -1011233 │    772.80 │   15.9 │     -2 │    BEAR │   -0.100 │   0.02 │   772.95 │  bearish │   773.07 │   773.36 │   773.48 │   773.50 │   773.55 │   773.22 │
│    11:11 │     │         162091 │         542264 │        -380173 │    772.75 │   13.4 │     -2 │    BEAR │   -0.097 │   0.03 │   772.86 │  bearish │   773.00 │   773.30 │   773.45 │   773.44 │   773.53 │   773.22 │
